experiment,model,subject,component,target_label,audio_label,visual_label,audio_amp_uV,visual_amp_uV,target_amp_uV,audio_lat_ms,visual_lat_ms,target_lat_ms,SoP_pred_uV,PoS_pred_uV,D_SoP_uV,D_PoS_uV
Exp2,attenuation,Vp1,N1,VAO-MVA,AO-MA,VO-MV,-7.12890,-2.65870,-5.75980,191.40625,189.45312,185.54688,-9.78760,-9.77610,4.02780,4.01630
Exp2,attenuation,Vp2,N1,VAO-MVA,AO-MA,VO-MV,-6.10990,-2.21170,-1.57940,189.45312,181.64062,183.59375,-8.32160,-8.29810,6.74220,6.71870
Exp2,attenuation,Vp3,N1,VAO-MVA,AO-MA,VO-MV,-0.33970,-0.97270,-4.22580,201.17188,191.40625,181.64062,-1.31240,-1.18350,-2.91340,-3.04230
Exp2,attenuation,Vp4,N1,VAO-MVA,AO-MA,VO-MV,-1.74690,-1.30350,-2.02390,173.82812,166.01562,181.64062,-3.05040,-2.97830,1.02650,0.95440
Exp2,attenuation,Vp6,N1,VAO-MVA,AO-MA,VO-MV,-0.89370,0.23300,-0.76980,205.07812,203.12500,185.54688,-0.66070,-0.65040,-0.10910,-0.11940
Exp2,attenuation,Vp7,N1,VAO-MVA,AO-MA,VO-MV,-4.49010,-0.56460,-3.24860,191.40625,191.40625,195.31250,-5.05470,-5.05470,1.80610,1.80610
Exp2,attenuation,Vp8,N1,VAO-MVA,AO-MA,VO-MV,-1.60380,-2.63940,-1.39150,166.01562,171.87500,177.73438,-4.24320,-4.13090,2.85170,2.73940
Exp2,attenuation,Vp9,N1,VAO-MVA,AO-MA,VO-MV,-1.54470,0.31230,-3.95380,166.01562,189.45312,205.07812,-1.23240,-1.02310,-2.72140,-2.93070
Exp2,attenuation,Vp10,N1,VAO-MVA,AO-MA,VO-MV,-1.15840,-0.82540,-2.44390,179.68750,205.07812,193.35938,-1.98380,-1.51600,-0.46010,-0.92790
Exp2,attenuation,Vp12,N1,VAO-MVA,AO-MA,VO-MV,-2.50420,0.27250,-3.37780,183.59375,205.07812,205.07812,-2.23170,-1.76890,-1.14610,-1.60890
Exp2,attenuation,Vp13,N1,VAO-MVA,AO-MA,VO-MV,-1.94100,-1.19300,-1.32210,187.50000,197.26562,195.31250,-3.13400,-2.91530,1.81190,1.59320
Exp2,attenuation,Vp14,N1,VAO-MVA,AO-MA,VO-MV,-4.38530,-0.57240,-3.10520,169.92188,166.01562,201.17188,-4.95770,-4.94370,1.85250,1.83850
Exp2,attenuation,Vp17,N1,VAO-MVA,AO-MA,VO-MV,-6.88640,-3.04080,-4.71290,166.01562,205.07812,205.07812,-9.92720,-9.74460,5.21430,5.03170
Exp2,attenuation,Vp20,N1,VAO-MVA,AO-MA,VO-MV,-0.81300,0.64080,-0.27950,205.07812,189.45312,205.07812,-0.17220,0.14460,-0.10730,-0.42410
Exp2,attenuation,Vp21,N1,VAO-MVA,AO-MA,VO-MV,-6.40360,-0.06870,-4.88240,179.68750,205.07812,193.35938,-6.47230,-5.76520,1.58990,0.88280
Exp2,attenuation,Vp23,N1,VAO-MVA,AO-MA,VO-MV,0.54570,-1.51790,-2.33400,166.01562,177.73438,166.01562,-0.97220,-0.48580,-1.36180,-1.84820
Exp2,attenuation,Vp24,N1,VAO-MVA,AO-MA,VO-MV,-2.91530,-9.04440,-3.74390,179.68750,169.92188,166.01562,-11.95970,-11.85610,8.21580,8.11220
Exp2,attenuation,Vp25,N1,VAO-MVA,AO-MA,VO-MV,-4.40540,-1.09610,-9.53760,175.78125,166.01562,201.17188,-5.50150,-5.16900,-4.03610,-4.36860
Exp2,attenuation,Vp26,N1,VAO-MVA,AO-MA,VO-MV,-1.52810,-1.87580,-3.96740,183.59375,205.07812,177.73438,-3.40390,-3.12650,-0.56350,-0.84090
Exp2,attenuation,Vp27,N1,VAO-MVA,AO-MA,VO-MV,-1.23280,-1.30770,-4.07640,166.01562,166.01562,166.01562,-2.54050,-2.54050,-1.53590,-1.53590
Exp2,attenuation,Vp28,N1,VAO-MVA,AO-MA,VO-MV,-0.31560,1.56800,-1.57890,189.45312,199.21875,193.35938,1.25240,1.38360,-2.83130,-2.96250
Exp2,attenuation,Vp29,N1,VAO-MVA,AO-MA,VO-MV,2.55360,2.76880,-3.10800,189.45312,191.40625,187.50000,5.32240,5.33040,-8.43040,-8.43840
Exp2,attenuation,Vp30,N1,VAO-MVA,AO-MA,VO-MV,-1.18710,-1.97050,-2.26220,166.01562,166.01562,166.01562,-3.15760,-3.15760,0.89540,0.89540
Exp2,attenuation,Vp31,N1,VAO-MVA,AO-MA,VO-MV,-4.49030,0.91930,-4.62860,197.26562,179.68750,185.54688,-3.57100,-3.49320,-1.05760,-1.13540
Exp2,attenuation,Vp32,N1,VAO-MVA,AO-MA,VO-MV,-2.20800,-2.33760,-3.68270,177.73438,171.87500,171.87500,-4.54560,-4.40970,0.86290,0.72700
Exp2,attenuation,Vp33,N1,VAO-MVA,AO-MA,VO-MV,-3.54240,-1.95290,-0.84080,189.45312,166.01562,195.31250,-5.49530,-4.87550,4.65450,4.03470
Exp2,attenuation,Vp34,N1,VAO-MVA,AO-MA,VO-MV,-11.04860,-6.80200,-7.24770,187.50000,205.07812,197.26562,-17.85060,-16.43780,10.60290,9.19010
Exp2,attenuation,Vp35,N1,VAO-MVA,AO-MA,VO-MV,-1.42230,-0.51260,-3.56440,166.01562,193.35938,177.73438,-1.93490,-1.07530,-1.62950,-2.48910
Exp2,attenuation,Vp36,N1,VAO-MVA,AO-MA,VO-MV,-0.95380,-0.44080,-1.54200,166.01562,205.07812,169.92188,-1.39460,1.84630,-0.14740,-3.38830
Exp2,attenuation,Vp38,N1,VAO-MVA,AO-MA,VO-MV,-1.50160,-3.97750,-1.70880,166.01562,205.07812,183.59375,-5.47910,-4.66760,3.77030,2.95880
Exp2,attenuation,Vp1,P2,VAO-MVA,AO-MA,VO-MV,8.20300,3.63390,8.30900,259.76562,248.04688,259.76562,11.83690,11.81620,-3.52790,-3.50720
Exp2,attenuation,Vp2,P2,VAO-MVA,AO-MA,VO-MV,2.29350,0.29550,7.94520,275.39062,271.48438,277.34375,2.58900,2.54460,5.35620,5.40060
Exp2,attenuation,Vp3,P2,VAO-MVA,AO-MA,VO-MV,0.71800,0.55390,1.76060,248.04688,287.10938,257.81250,1.27190,0.94470,0.48870,0.81590
Exp2,attenuation,Vp4,P2,VAO-MVA,AO-MA,VO-MV,2.37600,0.81590,3.32350,275.39062,287.10938,263.67188,3.19190,3.02170,0.13160,0.30180
Exp2,attenuation,Vp6,P2,VAO-MVA,AO-MA,VO-MV,0.56700,-0.58280,2.69600,261.71875,248.04688,265.62500,-0.01580,-0.05270,2.71180,2.74870
Exp2,attenuation,Vp7,P2,VAO-MVA,AO-MA,VO-MV,-0.05760,0.35950,0.54830,269.53125,279.29688,283.20312,0.30190,0.21930,0.24640,0.32900
Exp2,attenuation,Vp8,P2,VAO-MVA,AO-MA,VO-MV,4.84910,4.29640,7.83700,265.62500,248.04688,261.71875,9.14550,8.25940,-1.30850,-0.42240
Exp2,attenuation,Vp9,P2,VAO-MVA,AO-MA,VO-MV,2.29180,3.90620,3.48430,287.10938,287.10938,277.34375,6.19800,6.19800,-2.71370,-2.71370
Exp2,attenuation,Vp10,P2,VAO-MVA,AO-MA,VO-MV,4.10840,3.07790,4.27310,248.04688,269.53125,257.81250,7.18630,4.90780,-2.91320,-0.63470
Exp2,attenuation,Vp12,P2,VAO-MVA,AO-MA,VO-MV,2.12540,0.40710,1.65840,279.29688,287.10938,275.39062,2.53250,2.42120,-0.87410,-0.76280
Exp2,attenuation,Vp13,P2,VAO-MVA,AO-MA,VO-MV,1.60020,3.19980,3.58380,265.62500,287.10938,287.10938,4.80000,4.03530,-1.21620,-0.45150
Exp2,attenuation,Vp14,P2,VAO-MVA,AO-MA,VO-MV,-0.32830,2.24070,-0.65260,273.43750,259.76562,263.67188,1.91240,1.32240,-2.56500,-1.97500
Exp2,attenuation,Vp17,P2,VAO-MVA,AO-MA,VO-MV,-1.95600,-0.43220,0.16630,277.34375,275.39062,271.48438,-2.38820,-2.41990,2.55450,2.58620
Exp2,attenuation,Vp20,P2,VAO-MVA,AO-MA,VO-MV,2.97020,3.22310,1.22580,287.10938,287.10938,287.10938,6.19330,6.19330,-4.96750,-4.96750
Exp2,attenuation,Vp21,P2,VAO-MVA,AO-MA,VO-MV,1.65160,2.54060,6.80830,255.85938,255.85938,263.67188,4.19220,4.19220,2.61610,2.61610
Exp2,attenuation,Vp23,P2,VAO-MVA,AO-MA,VO-MV,0.38440,1.26850,-0.43360,257.81250,251.95312,251.95312,1.65290,1.59590,-2.08650,-2.02950
Exp2,attenuation,Vp24,P2,VAO-MVA,AO-MA,VO-MV,-2.04500,-2.13350,-2.66320,248.04688,279.29688,287.10938,-4.17850,-4.43280,1.51530,1.76960
Exp2,attenuation,Vp25,P2,VAO-MVA,AO-MA,VO-MV,-3.14790,1.77500,-1.94740,287.10938,248.04688,287.10938,-1.37290,-1.90650,-0.57450,-0.04090
Exp2,attenuation,Vp26,P2,VAO-MVA,AO-MA,VO-MV,1.26900,-2.04580,-1.91800,248.04688,287.10938,248.04688,-0.77680,-0.79370,-1.14120,-1.12430
Exp2,attenuation,Vp27,P2,VAO-MVA,AO-MA,VO-MV,3.13930,1.38830,2.90480,248.04688,248.04688,248.04688,4.52760,4.52760,-1.62280,-1.62280
Exp2,attenuation,Vp28,P2,VAO-MVA,AO-MA,VO-MV,1.50190,4.92510,4.14620,261.71875,261.71875,259.76562,6.42700,6.42700,-2.28080,-2.28080
Exp2,attenuation,Vp29,P2,VAO-MVA,AO-MA,VO-MV,3.36110,5.07000,2.16840,253.90625,259.76562,253.90625,8.43110,8.34800,-6.26270,-6.17960
