experiment,model,subject,target_label,audio_label,visual_label,target_N1_uV,audioPlusVisual_N1_uV,D_N1_uV,target_P2_uV,audioPlusVisual_P2_uV,D_P2_uV,whole_epoch_R2,whole_epoch_RMSE_uV
Exp1,attenuation,Vp1,VAO-MVA,AO-MA,VO-MV,-0.38782,-2.76706,2.37923,1.00646,-2.18435,3.19081,-5.19685,2.42596
Exp1,attenuation,Vp2,VAO-MVA,AO-MA,VO-MV,-1.74147,0.55998,-2.30145,10.75811,9.61753,1.14059,0.76955,1.79610
Exp1,attenuation,Vp4,VAO-MVA,AO-MA,VO-MV,-2.68709,-4.78875,2.10166,-1.22278,-3.35371,2.13093,-0.76177,2.20228
Exp1,attenuation,Vp5,VAO-MVA,AO-MA,VO-MV,-5.01687,-4.20670,-0.81017,2.28058,-1.79899,4.07957,-1.14158,3.93778
Exp1,attenuation,Vp6,VAO-MVA,AO-MA,VO-MV,-3.14427,-6.48926,3.34499,10.49306,8.18687,2.30619,0.10835,4.26233
Exp1,attenuation,Vp7,VAO-MVA,AO-MA,VO-MV,-7.20442,-7.72658,0.52216,4.33252,2.45526,1.87726,0.30276,2.41421
Exp1,attenuation,Vp8,VAO-MVA,AO-MA,VO-MV,-0.27005,-4.97067,4.70061,2.10305,-2.31628,4.41933,-17.68824,4.90086
Exp1,attenuation,Vp10,VAO-MVA,AO-MA,VO-MV,-3.37570,-5.91803,2.54232,0.96809,-4.87595,5.84403,-3.20883,5.58224
Exp1,attenuation,Vp11,VAO-MVA,AO-MA,VO-MV,-7.53621,5.51662,-13.05283,2.40720,12.59809,-10.19089,-2.64702,6.15723
Exp1,attenuation,Vp12,VAO-MVA,AO-MA,VO-MV,-0.64159,1.40920,-2.05080,3.06559,5.76115,-2.69557,-0.76944,2.55588
Exp1,attenuation,Vp13,VAO-MVA,AO-MA,VO-MV,-2.89386,-1.09954,-1.79432,5.32954,8.25573,-2.92619,0.18480,3.05473
Exp1,attenuation,Vp14,VAO-MVA,AO-MA,VO-MV,-0.68361,-1.72654,1.04293,0.71171,-2.15212,2.86384,-1.31066,2.64942
Exp1,attenuation,Vp15,VAO-MVA,AO-MA,VO-MV,-0.18024,3.25511,-3.43535,3.22421,7.03278,-3.80857,-3.90677,5.39807
Exp1,attenuation,Vp16,VAO-MVA,AO-MA,VO-MV,2.41393,4.01385,-1.59992,1.72462,2.50506,-0.78044,-0.74670,1.59571
Exp1,attenuation,Vp17,VAO-MVA,AO-MA,VO-MV,-0.94849,1.15427,-2.10276,3.65235,0.40430,3.24806,-2.50498,3.61248
Exp1,attenuation,Vp18,VAO-MVA,AO-MA,VO-MV,-6.17346,-7.36224,1.18877,0.94040,2.44665,-1.50624,-0.37763,2.69222
Exp1,attenuation,Vp19,VAO-MVA,AO-MA,VO-MV,-6.85649,-2.45723,-4.39926,14.15648,2.67325,11.48323,-0.03046,5.85526
Exp1,attenuation,Vp20,VAO-MVA,AO-MA,VO-MV,-5.38096,-5.12929,-0.25167,6.27146,3.95137,2.32010,0.02503,3.87117
Exp1,attenuation,Vp22,VAO-MVA,AO-MA,VO-MV,1.39933,-0.35993,1.75926,1.89362,-1.54870,3.44233,-0.04279,3.16680
Exp1,attenuation,Vp23,VAO-MVA,AO-MA,VO-MV,-0.63964,0.89592,-1.53556,9.66565,11.11099,-1.44534,0.66437,2.65919
Exp1,attenuation,Vp24,VAO-MVA,AO-MA,VO-MV,-0.87664,4.22072,-5.09736,4.35291,8.05892,-3.70600,-2.07356,3.78070
Exp1,attenuation,Vp25,VAO-MVA,AO-MA,VO-MV,3.08302,3.61787,-0.53485,1.46428,6.99345,-5.52917,-4.49903,5.18539
Exp1,attenuation,Vp26,VAO-MVA,AO-MA,VO-MV,-0.27268,-1.72670,1.45402,5.87909,7.23353,-1.35444,0.55467,1.34871
