experiment,model,subject,component,target_label,audio_label,visual_label,audio_amp_uV,visual_amp_uV,target_amp_uV,audio_lat_ms,visual_lat_ms,target_lat_ms,SoP_pred_uV,PoS_pred_uV,D_SoP_uV,D_PoS_uV
Exp1,replay,Vp1,N1,VAO,AO,VO,1.34940,-0.67270,1.07720,154.29688,154.29688,154.29688,0.67670,0.67670,0.40050,0.40050
Exp1,replay,Vp2,N1,VAO,AO,VO,-3.50710,0.07910,-4.45610,154.29688,154.29688,154.29688,-3.42800,-3.42800,-1.02810,-1.02810
Exp1,replay,Vp4,N1,VAO,AO,VO,-5.91670,-2.85660,-8.65990,154.29688,154.29688,154.29688,-8.77330,-8.77330,0.11340,0.11340
Exp1,replay,Vp5,N1,VAO,AO,VO,-5.10610,-1.67360,-7.38500,154.29688,154.29688,154.29688,-6.77970,-6.77970,-0.60530,-0.60530
Exp1,replay,Vp6,N1,VAO,AO,VO,-4.27180,-0.83390,-8.18650,154.29688,166.01562,160.15625,-5.10570,-4.46510,-3.08080,-3.72140
Exp1,replay,Vp7,N1,VAO,AO,VO,-7.10240,-0.33130,-9.93960,154.29688,154.29688,156.25000,-7.43370,-7.43370,-2.50590,-2.50590
Exp1,replay,Vp8,N1,VAO,AO,VO,-4.47320,-1.80330,-2.49300,154.29688,154.29688,154.29688,-6.27650,-6.27650,3.78350,3.78350
Exp1,replay,Vp10,N1,VAO,AO,VO,-0.08490,-1.45000,-3.17010,154.29688,154.29688,154.29688,-1.53490,-1.53490,-1.63520,-1.63520
Exp1,replay,Vp11,N1,VAO,AO,VO,-4.00200,-3.31250,-10.34770,154.29688,154.29688,169.92188,-7.31450,-7.31450,-3.03320,-3.03320
Exp1,replay,Vp12,N1,VAO,AO,VO,-4.44600,0.04110,-4.24390,154.29688,154.29688,154.29688,-4.40490,-4.40490,0.16100,0.16100
Exp1,replay,Vp13,N1,VAO,AO,VO,-9.12780,0.39510,-10.42830,154.29688,162.10938,160.15625,-8.73270,-8.53760,-1.69560,-1.89070
Exp1,replay,Vp14,N1,VAO,AO,VO,-0.57100,-3.65440,-3.92320,154.29688,154.29688,156.25000,-4.22540,-4.22540,0.30220,0.30220
Exp1,replay,Vp15,N1,VAO,AO,VO,-0.91820,-1.09420,-4.31370,154.29688,185.54688,154.29688,-2.01240,-0.22480,-2.30130,-4.08890
Exp1,replay,Vp16,N1,VAO,AO,VO,-1.62810,-0.34860,-4.08860,154.29688,154.29688,154.29688,-1.97670,-1.97670,-2.11190,-2.11190
Exp1,replay,Vp17,N1,VAO,AO,VO,-2.75280,1.07520,-4.18970,154.29688,154.29688,154.29688,-1.67760,-1.67760,-2.51210,-2.51210
Exp1,replay,Vp18,N1,VAO,AO,VO,-8.52110,1.54920,-5.56420,166.01562,154.29688,154.29688,-6.97190,-6.44320,1.40770,0.87900
Exp1,replay,Vp19,N1,VAO,AO,VO,-1.48910,1.02110,-10.63970,160.15625,191.40625,175.78125,-0.46800,-0.26120,-10.17170,-10.37850
Exp1,replay,Vp20,N1,VAO,AO,VO,-4.90380,-2.11910,-5.97090,181.64062,154.29688,164.06250,-7.02290,-6.62590,1.05200,0.65500
Exp1,replay,Vp22,N1,VAO,AO,VO,-1.03490,-0.58440,1.61270,154.29688,154.29688,154.29688,-1.61930,-1.61930,3.23200,3.23200
Exp1,replay,Vp23,N1,VAO,AO,VO,-4.48440,0.90340,-8.50480,154.29688,154.29688,154.29688,-3.58100,-3.58100,-4.92380,-4.92380
Exp1,replay,Vp24,N1,VAO,AO,VO,-4.25560,0.93980,-3.66800,154.29688,189.45312,154.29688,-3.31580,-1.59570,-0.35220,-2.07230
Exp1,replay,Vp25,N1,VAO,AO,VO,2.85520,1.31260,0.33710,154.29688,154.29688,154.29688,4.16780,4.16780,-3.83070,-3.83070
Exp1,replay,Vp1,P2,VAO,AO,VO,5.54710,0.89990,9.17450,242.18750,242.18750,242.18750,6.44700,6.44700,2.72750,2.72750
Exp1,replay,Vp2,P2,VAO,AO,VO,13.31680,3.99610,20.85910,242.18750,281.25000,248.04688,17.31290,16.44160,3.54620,4.41750
Exp1,replay,Vp4,P2,VAO,AO,VO,4.33750,-0.38490,5.42940,242.18750,242.18750,242.18750,3.95260,3.95260,1.47680,1.47680
Exp1,replay,Vp5,P2,VAO,AO,VO,7.27780,2.30910,11.18800,248.04688,242.18750,255.85938,9.58690,9.51020,1.60110,1.67780
Exp1,replay,Vp6,P2,VAO,AO,VO,12.26740,4.07940,15.71200,242.18750,242.18750,242.18750,16.34680,16.34680,-0.63480,-0.63480
Exp1,replay,Vp7,P2,VAO,AO,VO,11.24960,1.69640,16.90790,242.18750,242.18750,242.18750,12.94600,12.94600,3.96190,3.96190
