experiment,model,subject,component,target_label,audio_label,visual_label,audio_amp_uV,visual_amp_uV,target_amp_uV,audio_lat_ms,visual_lat_ms,target_lat_ms,SoP_pred_uV,PoS_pred_uV,D_SoP_uV,D_PoS_uV
Exp2,self,Vp1,N1,MVA,MA,MV,0.99670,-2.69510,-3.15020,166.01562,166.01562,166.01562,-1.69840,-1.69840,-1.45180,-1.45180
Exp2,self,Vp2,N1,MVA,MA,MV,1.13410,1.26080,-1.46500,166.01562,166.01562,187.50000,2.39490,2.39490,-3.85990,-3.85990
Exp2,self,Vp3,N1,MVA,MA,MV,-5.32920,-2.29130,-8.15390,166.01562,166.01562,166.01562,-7.62050,-7.62050,-0.53340,-0.53340
Exp2,self,Vp4,N1,MVA,MA,MV,-2.77980,1.35040,-3.41220,166.01562,166.01562,166.01562,-1.42940,-1.42940,-1.98280,-1.98280
Exp2,self,Vp6,N1,MVA,MA,MV,-7.02950,-2.06620,-6.77280,166.01562,169.92188,166.01562,-9.09570,-9.03120,2.32290,2.25840
Exp2,self,Vp7,N1,MVA,MA,MV,-1.84340,-0.87590,-2.81200,166.01562,167.96875,166.01562,-2.71930,-2.70790,-0.09270,-0.10410
Exp2,self,Vp8,N1,MVA,MA,MV,-6.53020,2.20300,-8.95370,166.01562,166.01562,166.01562,-4.32720,-4.32720,-4.62650,-4.62650
Exp2,self,Vp9,N1,MVA,MA,MV,-2.63940,-2.51020,-5.46280,166.01562,166.01562,166.01562,-5.14960,-5.14960,-0.31320,-0.31320
Exp2,self,Vp10,N1,MVA,MA,MV,-3.45580,-1.79780,-5.59280,166.01562,166.01562,166.01562,-5.25360,-5.25360,-0.33920,-0.33920
Exp2,self,Vp12,N1,MVA,MA,MV,-0.91020,-2.57770,-3.58830,166.01562,166.01562,166.01562,-3.48790,-3.48790,-0.10040,-0.10040
Exp2,self,Vp13,N1,MVA,MA,MV,-1.96640,-0.61090,-1.38710,166.01562,166.01562,166.01562,-2.57730,-2.57730,1.19020,1.19020
Exp2,self,Vp14,N1,MVA,MA,MV,0.08590,0.68570,-3.85750,166.01562,166.01562,166.01562,0.77160,0.77160,-4.62910,-4.62910
Exp2,self,Vp17,N1,MVA,MA,MV,1.01720,-2.93190,-4.30780,179.68750,166.01562,166.01562,-1.91470,-1.68880,-2.39310,-2.61900
Exp2,self,Vp20,N1,MVA,MA,MV,-6.19630,-1.03290,-6.52330,177.73438,166.01562,166.01562,-7.22920,-6.49620,0.70590,-0.02710
Exp2,self,Vp21,N1,MVA,MA,MV,2.61970,-1.49900,-3.90920,166.01562,166.01562,166.01562,1.12070,1.12070,-5.02990,-5.02990
Exp2,self,Vp23,N1,MVA,MA,MV,-1.21030,-1.02100,-2.78490,166.01562,166.01562,166.01562,-2.23130,-2.23130,-0.55360,-0.55360
Exp2,self,Vp24,N1,MVA,MA,MV,4.44190,5.44240,3.33340,166.01562,205.07812,166.01562,9.88430,12.47620,-6.55090,-9.14280
Exp2,self,Vp25,N1,MVA,MA,MV,-3.75100,-0.51770,-5.12000,166.01562,166.01562,166.01562,-4.26870,-4.26870,-0.85130,-0.85130
Exp2,self,Vp26,N1,MVA,MA,MV,-2.18310,1.39200,-0.85100,166.01562,166.01562,166.01562,-0.79110,-0.79110,-0.05990,-0.05990
Exp2,self,Vp27,N1,MVA,MA,MV,-0.87300,-0.59420,1.35410,166.01562,205.07812,166.01562,-1.46720,2.55600,2.82130,-1.20190
Exp2,self,Vp28,N1,MVA,MA,MV,-4.74870,-1.63350,-5.48240,166.01562,166.01562,166.01562,-6.38220,-6.38220,0.89980,0.89980
