experiment,model,subject,target_label,audio_label,visual_label,target_N1_uV,audioPlusVisual_N1_uV,D_N1_uV,target_P2_uV,audioPlusVisual_P2_uV,D_P2_uV,whole_epoch_R2,whole_epoch_RMSE_uV
Exp2,self,Vp1,MVA,MA,MV,2.58765,5.83056,-3.24291,10.78919,8.64670,2.14249,0.79429,2.02087
Exp2,self,Vp2,MVA,MA,MV,-0.61967,5.16579,-5.78545,6.38117,7.76277,-1.38160,0.00592,2.87341
Exp2,self,Vp3,MVA,MA,MV,-1.92281,-2.30020,0.37739,6.06361,3.32773,2.73588,0.87932,1.38938
Exp2,self,Vp4,MVA,MA,MV,-1.18620,1.30681,-2.49300,7.39965,5.17020,2.22944,0.78281,1.26387
Exp2,self,Vp6,MVA,MA,MV,-3.63837,-3.45200,-0.18636,0.15505,-0.40180,0.55685,0.52599,1.63848
Exp2,self,Vp7,MVA,MA,MV,-0.28001,0.98365,-1.26366,4.97040,4.78620,0.18420,0.68373,1.07151
Exp2,self,Vp8,MVA,MA,MV,-4.04878,0.19175,-4.24052,4.72199,4.15948,0.56251,0.73986,1.65462
Exp2,self,Vp9,MVA,MA,MV,0.91823,1.22488,-0.30664,4.15149,0.32064,3.83085,0.64651,1.74488
Exp2,self,Vp10,MVA,MA,MV,-1.61922,-1.55370,-0.06552,5.52200,2.39470,3.12730,0.68384,1.79428
Exp2,self,Vp12,MVA,MA,MV,-1.59599,-0.84817,-0.74781,4.77617,1.60734,3.16883,0.24286,1.89816
Exp2,self,Vp13,MVA,MA,MV,1.54105,1.77256,-0.23151,3.89410,0.93648,2.95762,-0.08332,2.38796
Exp2,self,Vp14,MVA,MA,MV,0.91850,5.15886,-4.24036,9.77280,4.91380,4.85900,0.63163,2.65900
Exp2,self,Vp17,MVA,MA,MV,-2.74278,1.36962,-4.11240,6.70709,11.30509,-4.59800,-0.38267,4.05160
Exp2,self,Vp20,MVA,MA,MV,-4.34395,-3.77705,-0.56690,4.05920,1.68213,2.37707,0.55302,1.75077
Exp2,self,Vp21,MVA,MA,MV,1.63760,9.70544,-8.06784,9.00619,6.14993,2.85625,0.47075,3.32755
Exp2,self,Vp23,MVA,MA,MV,1.11426,2.43066,-1.31640,9.51736,7.46399,2.05338,0.88497,1.23790
Exp2,self,Vp24,MVA,MA,MV,6.42828,14.60594,-8.17767,6.44827,11.37497,-4.92670,-2.36873,5.09769
Exp2,self,Vp25,MVA,MA,MV,0.56474,1.88204,-1.31730,4.88416,0.80413,4.08002,-0.26040,3.33537
Exp2,self,Vp26,MVA,MA,MV,1.12085,2.46232,-1.34147,7.04852,6.74423,0.30430,0.63764,1.52036
Exp2,self,Vp27,MVA,MA,MV,6.38372,6.64618,-0.26245,6.69907,3.49018,3.20889,0.56990,2.46148
Exp2,self,Vp28,MVA,MA,MV,-1.17531,-0.56086,-0.61445,5.50540,4.58619,0.91921,0.83752,1.22715
Exp2,self,Vp29,MVA,MA,MV,3.19860,-0.10656,3.30516,-1.97681,-5.63259,3.65577,-0.96610,2.62864
Exp2,self,Vp30,MVA,MA,MV,0.27230,3.19563,-2.92333,5.57262,0.70605,4.86657,-0.04360,3.04977
Exp2,self,Vp31,MVA,MA,MV,2.55958,5.80103,-3.24145,8.53108,5.41023,3.12085,0.63894,2.62113
Exp2,self,Vp32,MVA,MA,MV,1.84862,3.74353,-1.89490,0.31607,-3.57620,3.89227,0.15933,2.44764
Exp2,self,Vp33,MVA,MA,MV,0.72020,3.55282,-2.83263,5.86830,5.31587,0.55243,0.77611,1.31349
Exp2,self,Vp34,MVA,MA,MV,3.60431,10.63153,-7.02722,1.86154,6.39937,-4.53783,-1.11449,4.63103
Exp2,self,Vp35,MVA,MA,MV,5.15786,5.60932,-0.45146,8.23548,6.93291,1.30257,0.87631,1.56476
Exp2,self,Vp36,MVA,MA,MV,-0.95627,-1.59550,0.63923,7.10464,2.72040,4.38423,0.52298,2.96245
Exp2,self,Vp38,MVA,MA,MV,2.88743,8.29580,-5.40837,8.85719,7.91019,0.94700,0.77907,2.01611
