experiment,model,subject,component,target_label,audio_label,visual_label,audio_amp_uV,visual_amp_uV,target_amp_uV,audio_lat_ms,visual_lat_ms,target_lat_ms,SoP_pred_uV,PoS_pred_uV,D_SoP_uV,D_PoS_uV
Exp2,attenuation,Vp1,P1,VAO-MVA,AO-MA,VO-MV,1.70148,3.11384,1.53532,160.15625,140.62500,160.15625,4.81532,3.60738,-3.28000,-2.07206
Exp2,attenuation,Vp2,P1,VAO-MVA,AO-MA,VO-MV,1.69344,0.17912,1.29994,140.62500,123.04688,152.34375,1.87256,1.61082,-0.57262,-0.31088
Exp2,attenuation,Vp3,P1,VAO-MVA,AO-MA,VO-MV,2.90210,1.18982,2.48956,126.95312,140.62500,146.48438,4.09192,3.78530,-1.60236,-1.29574
Exp2,attenuation,Vp4,P1,VAO-MVA,AO-MA,VO-MV,1.22210,0.72944,2.26308,148.43750,160.15625,160.15625,1.95154,1.60464,0.31154,0.65844
Exp2,attenuation,Vp6,P1,VAO-MVA,AO-MA,VO-MV,3.28894,2.90274,4.61880,160.15625,160.15625,150.39062,6.19168,6.19168,-1.57288,-1.57288
Exp2,attenuation,Vp7,P1,VAO-MVA,AO-MA,VO-MV,0.22454,-0.68394,-0.00464,160.15625,160.15625,160.15625,-0.45940,-0.45940,0.45476,0.45476
Exp2,attenuation,Vp8,P1,VAO-MVA,AO-MA,VO-MV,2.41140,1.65828,2.95390,140.62500,142.57812,148.43750,4.06968,4.04902,-1.11578,-1.09512
Exp2,attenuation,Vp9,P1,VAO-MVA,AO-MA,VO-MV,-0.02560,0.99172,0.27168,125.00000,148.43750,160.15625,0.96612,0.42478,-0.69444,-0.15310
Exp2,attenuation,Vp10,P1,VAO-MVA,AO-MA,VO-MV,2.23294,1.38684,0.90338,136.71875,160.15625,123.04688,3.61978,2.76926,-2.71640,-1.86588
Exp2,attenuation,Vp12,P1,VAO-MVA,AO-MA,VO-MV,2.36636,1.17560,0.77958,146.48438,154.29688,146.48438,3.54196,3.37312,-2.76238,-2.59354
Exp2,attenuation,Vp13,P1,VAO-MVA,AO-MA,VO-MV,0.68872,0.50546,0.71410,160.15625,160.15625,158.20312,1.19418,1.19418,-0.48008,-0.48008
Exp2,attenuation,Vp14,P1,VAO-MVA,AO-MA,VO-MV,1.74514,2.34296,2.32340,123.04688,160.15625,148.43750,4.08810,2.78766,-1.76470,-0.46426
Exp2,attenuation,Vp17,P1,VAO-MVA,AO-MA,VO-MV,2.91734,2.55006,2.13530,128.90625,158.20312,123.04688,5.46740,5.27584,-3.33210,-3.14054
