experiment,model,subject,component,target_label,audio_label,visual_label,audio_amp_uV,visual_amp_uV,target_amp_uV,audio_lat_ms,visual_lat_ms,target_lat_ms,SoP_pred_uV,PoS_pred_uV,D_SoP_uV,D_PoS_uV
Exp1,replay,Vp1,P1,VAO,AO,VO,0.70220,5.24970,5.29622,107.42188,121.09375,121.09375,5.95190,4.91438,-0.65568,0.38184
Exp1,replay,Vp2,P1,VAO,AO,VO,0.47478,5.12796,5.51838,128.90625,125.00000,121.09375,5.60274,5.57124,-0.08436,-0.05286
Exp1,replay,Vp4,P1,VAO,AO,VO,0.20674,3.23916,1.71048,107.42188,123.04688,144.53125,3.44590,3.18980,-1.73542,-1.47932
Exp1,replay,Vp5,P1,VAO,AO,VO,3.85452,3.75756,3.68242,132.81250,113.28125,140.62500,7.61208,6.13280,-3.92966,-2.45038
Exp1,replay,Vp6,P1,VAO,AO,VO,5.86278,4.21888,6.56762,117.18750,144.53125,132.81250,10.08166,9.50216,-3.51404,-2.93454
Exp1,replay,Vp7,P1,VAO,AO,VO,0.11478,1.67182,2.12662,144.53125,130.85938,144.53125,1.78660,1.41000,0.34002,0.71662
Exp1,replay,Vp8,P1,VAO,AO,VO,2.64356,5.10710,6.07748,144.53125,109.37500,113.28125,7.75066,5.14488,-1.67318,0.93260
Exp1,replay,Vp10,P1,VAO,AO,VO,0.97500,4.27512,5.56630,132.81250,119.14062,144.53125,5.25012,4.27378,0.31618,1.29252
Exp1,replay,Vp11,P1,VAO,AO,VO,0.49058,6.74556,3.02430,128.90625,121.09375,121.09375,7.23614,6.99196,-4.21184,-3.96766
Exp1,replay,Vp12,P1,VAO,AO,VO,0.34826,10.35458,9.12468,107.42188,126.95312,125.00000,10.70284,10.62142,-1.57816,-1.49674
Exp1,replay,Vp13,P1,VAO,AO,VO,3.14900,2.60128,4.60316,109.37500,132.81250,128.90625,5.75028,5.50388,-1.14712,-0.90072
Exp1,replay,Vp14,P1,VAO,AO,VO,-1.26330,9.24974,5.20844,107.42188,109.37500,113.28125,7.98644,7.85248,-2.77800,-2.64404
Exp1,replay,Vp15,P1,VAO,AO,VO,-1.51796,2.70694,2.98644,123.04688,126.95312,142.57812,1.18898,1.15970,1.79746,1.82674
Exp1,replay,Vp16,P1,VAO,AO,VO,1.10586,2.97760,3.53554,107.42188,107.42188,115.23438,4.08346,4.08346,-0.54792,-0.54792
Exp1,replay,Vp17,P1,VAO,AO,VO,4.13828,3.22364,4.76468,142.57812,107.42188,126.95312,7.36192,4.08410,-2.59724,0.68058
Exp1,replay,Vp18,P1,VAO,AO,VO,2.65396,5.90368,8.09836,125.00000,119.14062,119.14062,8.55764,8.39370,-0.45928,-0.29534
Exp1,replay,Vp19,P1,VAO,AO,VO,0.29960,8.61230,5.46790,144.53125,132.81250,123.04688,8.91190,7.61080,-3.44400,-2.14290
Exp1,replay,Vp20,P1,VAO,AO,VO,0.37512,1.49802,-0.04274,107.42188,109.37500,117.18750,1.87314,1.83600,-1.91588,-1.87874
Exp1,replay,Vp22,P1,VAO,AO,VO,0.77484,3.70696,5.16546,126.95312,142.57812,109.37500,4.48180,4.05914,0.68366,1.10632
Exp1,replay,Vp23,P1,VAO,AO,VO,2.73742,4.20320,5.95846,117.18750,107.42188,115.23438,6.94062,6.16094,-0.98216,-0.20248
Exp1,replay,Vp24,P1,VAO,AO,VO,0.38430,2.24532,2.61458,107.42188,128.90625,117.18750,2.62962,2.19686,-0.01504,0.41772
Exp1,replay,Vp25,P1,VAO,AO,VO,-1.52524,4.69858,5.53440,121.09375,115.23438,117.18750,3.17334,3.05612,2.36106,2.47828
Exp1,replay,Vp1,N2,VAO,AO,VO,3.66204,-0.43686,3.10394,257.81250,250.00000,255.85938,3.22518,3.31420,-0.12124,-0.21026
Exp1,replay,Vp2,N2,VAO,AO,VO,-2.83798,1.67502,-0.09870,240.23438,265.62500,261.71875,-1.16296,-0.14148,1.06426,0.04278
Exp1,replay,Vp4,N2,VAO,AO,VO,-0.43850,-0.10968,-0.32652,265.62500,248.04688,265.62500,-0.54818,0.16718,0.22166,-0.49370
Exp1,replay,Vp5,N2,VAO,AO,VO,-4.42582,-3.06716,-4.00010,255.85938,238.28125,242.18750,-7.49298,-6.71138,3.49288,2.71128
Exp1,replay,Vp6,N2,VAO,AO,VO,-2.47976,0.15618,-1.52514,226.56250,265.62500,265.62500,-2.32358,-0.74144,0.79844,-0.78370
Exp1,replay,Vp7,N2,VAO,AO,VO,-1.96288,-1.59072,-0.61472,234.37500,226.56250,265.62500,-3.55360,-3.42006,2.93888,2.80534
Exp1,replay,Vp8,N2,VAO,AO,VO,0.37408,0.07066,-1.42990,265.62500,242.18750,259.76562,0.44474,0.76740,-1.87464,-2.19730
Exp1,replay,Vp10,N2,VAO,AO,VO,-1.80574,0.00810,1.01042,236.32812,253.90625,248.04688,-1.79764,-1.37156,2.80806,2.38198
Exp1,replay,Vp11,N2,VAO,AO,VO,-4.28108,-1.32348,-4.95444,263.67188,265.62500,261.71875,-5.60456,-5.59166,0.65012,0.63722
Exp1,replay,Vp12,N2,VAO,AO,VO,-0.37174,1.85320,-0.62636,226.56250,251.95312,251.95312,1.48146,1.93840,-2.10782,-2.56476
Exp1,replay,Vp13,N2,VAO,AO,VO,-3.42166,0.12696,-3.20140,226.56250,244.14062,234.37500,-3.29470,-3.00012,0.09330,-0.20128
Exp1,replay,Vp14,N2,VAO,AO,VO,-0.77092,-1.50692,-2.03078,226.56250,236.32812,265.62500,-2.27784,-2.13944,0.24706,0.10866
Exp1,replay,Vp15,N2,VAO,AO,VO,-4.20538,0.61812,0.46110,226.56250,265.62500,226.56250,-3.58726,-2.17334,4.04836,2.63444
Exp1,replay,Vp16,N2,VAO,AO,VO,-0.54716,1.75598,0.37372,234.37500,226.56250,226.56250,1.20882,1.24678,-0.83510,-0.87306
Exp1,replay,Vp17,N2,VAO,AO,VO,0.46342,-0.89394,-1.82936,226.56250,226.56250,226.56250,-0.43052,-0.43052,-1.39884,-1.39884
Exp1,replay,Vp18,N2,VAO,AO,VO,-2.43538,-0.31302,-1.08520,251.95312,226.56250,226.56250,-2.74840,-2.43806,1.66320,1.35286
Exp1,replay,Vp19,N2,VAO,AO,VO,1.13854,-4.35846,-3.25688,265.62500,226.56250,236.32812,-3.21992,-2.02654,-0.03696,-1.23034
Exp1,replay,Vp20,N2,VAO,AO,VO,-1.76246,-0.36764,-5.97936,226.56250,236.32812,228.51562,-2.13010,-1.89114,-3.84926,-4.08822
Exp1,replay,Vp22,N2,VAO,AO,VO,-0.30158,-0.38718,-3.27936,230.46875,265.62500,265.62500,-0.68876,-0.58046,-2.59060,-2.69890
Exp1,replay,Vp23,N2,VAO,AO,VO,0.38898,2.51424,2.17258,226.56250,265.62500,226.56250,2.90322,2.94562,-0.73064,-0.77304
Exp1,replay,Vp24,N2,VAO,AO,VO,-1.31938,-1.07992,-0.99762,255.85938,232.42188,226.56250,-2.39930,-2.03888,1.40168,1.04126
Exp1,replay,Vp25,N2,VAO,AO,VO,-1.96334,1.53968,0.61384,226.56250,265.62500,226.56250,-0.42366,0.13052,1.03750,0.48332
