experiment,model,subject,component,target_label,audio_label,visual_label,audio_amp_uV,visual_amp_uV,target_amp_uV,audio_lat_ms,visual_lat_ms,target_lat_ms,SoP_pred_uV,PoS_pred_uV,D_SoP_uV,D_PoS_uV
Exp1,self,Vp1,P1,MVA,MA,MV,0.81886,8.89600,9.18294,107.42188,123.04688,121.09375,9.71486,8.46028,-0.53192,0.72266
Exp1,self,Vp2,P1,MVA,MA,MV,2.20416,6.33362,7.54982,134.76562,119.14062,117.18750,8.53778,8.01962,-0.98796,-0.46980
Exp1,self,Vp4,P1,MVA,MA,MV,0.96630,3.72044,4.73876,144.53125,144.53125,117.18750,4.68674,4.68674,0.05202,0.05202
Exp1,self,Vp5,P1,MVA,MA,MV,2.90624,5.33266,4.18172,125.00000,128.90625,130.85938,8.23890,8.07294,-4.05718,-3.89122
Exp1,self,Vp6,P1,MVA,MA,MV,7.91500,9.29200,12.24240,107.42188,107.42188,111.32812,17.20700,17.20700,-4.96460,-4.96460
Exp1,self,Vp7,P1,MVA,MA,MV,0.67780,2.62200,2.01266,144.53125,134.76562,132.81250,3.29980,3.27524,-1.28714,-1.26258
Exp1,self,Vp8,P1,MVA,MA,MV,0.55300,8.16618,6.97268,115.23438,107.42188,109.37500,8.71918,6.99692,-1.74650,-0.02424
Exp1,self,Vp10,P1,MVA,MA,MV,0.17790,6.81594,5.29644,136.71875,144.53125,113.28125,6.99384,6.87010,-1.69740,-1.57366
Exp1,self,Vp11,P1,MVA,MA,MV,3.81758,6.54160,5.50614,107.42188,117.18750,115.23438,10.35918,9.74136,-4.85304,-4.23522
Exp1,self,Vp12,P1,MVA,MA,MV,1.83980,7.99664,9.85342,107.42188,123.04688,123.04688,9.83644,7.95492,0.01698,1.89850
Exp1,self,Vp13,P1,MVA,MA,MV,2.30280,5.94142,5.13264,107.42188,117.18750,117.18750,8.24422,7.43948,-3.11158,-2.30684
Exp1,self,Vp14,P1,MVA,MA,MV,1.72234,9.38698,9.95046,107.42188,109.37500,109.37500,11.10932,11.04714,-1.15886,-1.09668
Exp1,self,Vp15,P1,MVA,MA,MV,3.09218,9.01692,10.57644,119.14062,107.42188,115.23438,12.10910,11.76318,-1.53266,-1.18674
Exp1,self,Vp16,P1,MVA,MA,MV,1.74148,2.15116,3.85638,126.95312,125.00000,121.09375,3.89264,3.85294,-0.03626,0.00344
Exp1,self,Vp17,P1,MVA,MA,MV,0.26682,1.18142,5.31940,140.62500,144.53125,113.28125,1.44824,1.20978,3.87116,4.10962
Exp1,self,Vp18,P1,MVA,MA,MV,0.94600,3.33740,8.89828,142.57812,107.42188,115.23438,4.28340,4.01842,4.61488,4.87986
Exp1,self,Vp19,P1,MVA,MA,MV,1.14470,8.79340,7.06334,144.53125,126.95312,115.23438,9.93810,8.97588,-2.87476,-1.91254
Exp1,self,Vp20,P1,MVA,MA,MV,-1.24414,-0.05474,0.86548,144.53125,121.09375,144.53125,-1.29888,-3.03450,2.16436,3.89998
Exp1,self,Vp22,P1,MVA,MA,MV,3.10968,7.61526,8.37646,138.67188,138.67188,125.00000,10.72494,10.72494,-2.34848,-2.34848
Exp1,self,Vp23,P1,MVA,MA,MV,1.93424,9.01006,6.67140,111.32812,107.42188,107.42188,10.94430,10.81956,-4.27290,-4.14816
Exp1,self,Vp24,P1,MVA,MA,MV,1.19286,0.26526,2.62296,126.95312,144.53125,140.62500,1.45812,0.93102,1.16484,1.69194
Exp1,self,Vp25,P1,MVA,MA,MV,3.97058,8.69240,8.27850,128.90625,130.85938,121.09375,12.66298,12.64550,-4.38448,-4.36700
Exp1,self,Vp1,N2,MVA,MA,MV,3.43618,1.27456,3.18888,259.76562,251.95312,236.32812,4.71074,4.79570,-1.52186,-1.60682
Exp1,self,Vp2,N2,MVA,MA,MV,0.18666,1.23292,1.87772,253.90625,230.46875,257.81250,1.41958,1.88790,0.45814,-0.01018
Exp1,self,Vp4,N2,MVA,MA,MV,0.28092,4.46354,1.50984,265.62500,265.62500,265.62500,4.74446,4.74446,-3.23462,-3.23462
Exp1,self,Vp5,N2,MVA,MA,MV,-1.60672,-3.15174,-3.97842,226.56250,265.62500,261.71875,-4.75846,-3.94556,0.78004,-0.03286
Exp1,self,Vp6,N2,MVA,MA,MV,1.80410,-2.42948,1.46952,263.67188,265.62500,265.62500,-0.62538,-0.52654,2.09490,1.99606
Exp1,self,Vp7,N2,MVA,MA,MV,-1.91376,-3.96400,-3.48370,244.14062,246.09375,246.09375,-5.87776,-5.84110,2.39406,2.35740
Exp1,self,Vp8,N2,MVA,MA,MV,0.51956,1.61766,-0.30152,265.62500,226.56250,259.76562,2.13722,2.45390,-2.43874,-2.75542
Exp1,self,Vp10,N2,MVA,MA,MV,0.06416,3.50774,-2.42424,240.23438,226.56250,236.32812,3.57190,3.94750,-5.99614,-6.37174
Exp1,self,Vp11,N2,MVA,MA,MV,0.30926,-6.02370,-3.43920,265.62500,265.62500,265.62500,-5.71444,-5.71444,2.27524,2.27524
Exp1,self,Vp12,N2,MVA,MA,MV,-1.36508,-2.89570,-0.21604,257.81250,257.81250,261.71875,-4.26078,-4.26078,4.04474,4.04474
Exp1,self,Vp13,N2,MVA,MA,MV,-2.47302,-4.08400,-5.12864,250.00000,257.81250,261.71875,-6.55702,-5.94288,1.42838,0.81424
Exp1,self,Vp14,N2,MVA,MA,MV,-0.73166,-3.64812,-2.16432,230.46875,238.28125,234.37500,-4.37978,-4.29968,2.21546,2.13536
Exp1,self,Vp15,N2,MVA,MA,MV,0.62348,-1.45208,1.63014,248.04688,255.85938,253.90625,-0.82860,-0.56248,2.45874,2.19262
Exp1,self,Vp16,N2,MVA,MA,MV,-1.28248,-1.71954,-2.33068,238.28125,226.56250,226.56250,-3.00202,-2.85582,0.67134,0.52514
Exp1,self,Vp17,N2,MVA,MA,MV,-1.69724,-0.51958,-0.49022,228.51562,265.62500,232.42188,-2.21682,-1.28226,1.72660,0.79204
Exp1,self,Vp18,N2,MVA,MA,MV,-1.25826,0.91196,2.35850,265.62500,226.56250,265.62500,-0.34630,0.64964,2.70480,1.70886
Exp1,self,Vp19,N2,MVA,MA,MV,3.22670,0.50114,-0.07042,226.56250,226.56250,226.56250,3.72784,3.72784,-3.79826,-3.79826
Exp1,self,Vp20,N2,MVA,MA,MV,-1.10734,-0.37222,-0.68130,226.56250,236.32812,226.56250,-1.47956,-1.25722,0.79826,0.57592
Exp1,self,Vp22,N2,MVA,MA,MV,-0.57140,0.30200,1.06576,265.62500,265.62500,265.62500,-0.26940,-0.26940,1.33516,1.33516
Exp1,self,Vp23,N2,MVA,MA,MV,0.26582,0.87658,1.12614,240.23438,238.28125,226.56250,1.14240,1.18464,-0.01626,-0.05850
Exp1,self,Vp24,N2,MVA,MA,MV,0.46902,-1.65564,-1.30710,253.90625,248.04688,226.56250,-1.18662,-1.04400,-0.12048,-0.26310
